Experiment Time,Train Time,Iteration,Dataset Name,Model Name,mAP@0.5,mAP@0.5:0.95,Mean Precision,Mean Recall,mAP@0.75,Class_0/Precision,Class_0/Recall,Class_0/mAP@0.5,Class_0/mAP@0.5:0.95,Speed/preprocess (ms),Speed/inference (ms),Speed/loss (ms),Speed/postprocess (ms),Epochs,Batch Size,Device,Optimizer,LR,Weight Decay,Momentum,Image Size,Output Dir,LRF,Cos LR,hsv_h,hsv_s,hsv_v,degrees,translate,scale,flipud,fliplr,mosaic,mixup,copy_paste,Data Config,Number of Classes,Class Names,box,cls,dfl,PT path,Train-Test Time
250417_185303,250417_185303,1,airplane,yolo11n,0.4493,0.1668,0.4974,0.525,0.0707,0.497,0.525,0.449,0.167,0.4,1.4,0.0,1.1,20,16,cuda:0,AdamW,0.01,0.0001,0.0001,640,output,0.0001,True,0.015,0.7,0.4,10.0,0.1,0.5,0.0,0.5,1.0,0.5,0.0,../Datasets/airplane/data_iter_01.yaml,1,['airplane'],7.5,0.5,1.5,output/detect/250417_185303_yolo11n_airplane_Iter_1/weights/best.pt,168.6216439640002
250417_185303,250417_185552,2,airplane,yolo11n,0.5041,0.1774,0.5443,0.56,0.058,0.544,0.56,0.504,0.177,0.6,0.9,0.0,1.0,20,16,cuda:0,AdamW,0.01,0.0001,0.0001,640,output,0.0001,True,0.015,0.7,0.4,10.0,0.1,0.5,0.0,0.5,1.0,0.5,0.0,../Datasets/airplane/data_iter_02.yaml,1,['airplane'],7.5,0.5,1.5,output/detect/250417_185552_yolo11n_airplane_Iter_2/weights/best.pt,167.14347849299998
250417_185303,250417_185840,3,airplane,yolo11n,0.4651,0.1695,0.5015,0.5596,0.0808,0.502,0.56,0.465,0.17,0.4,1.0,0.0,1.2,20,16,cuda:0,AdamW,0.01,0.0001,0.0001,640,output,0.0001,True,0.015,0.7,0.4,10.0,0.1,0.5,0.0,0.5,1.0,0.5,0.0,../Datasets/airplane/data_iter_03.yaml,1,['airplane'],7.5,0.5,1.5,output/detect/250417_185840_yolo11n_airplane_Iter_3/weights/best.pt,167.5658301279998
250417_185303,250417_190127,4,airplane,yolo11n,0.5876,0.2118,0.6217,0.5789,0.0872,0.622,0.579,0.588,0.212,0.4,1.1,0.0,1.0,20,16,cuda:0,AdamW,0.01,0.0001,0.0001,640,output,0.0001,True,0.015,0.7,0.4,10.0,0.1,0.5,0.0,0.5,1.0,0.5,0.0,../Datasets/airplane/data_iter_04.yaml,1,['airplane'],7.5,0.5,1.5,output/detect/250417_190127_yolo11n_airplane_Iter_4/weights/best.pt,166.78764745099988
250417_185303,250417_190414,5,airplane,yolo11n,0.4482,0.1483,0.491,0.4961,0.0379,0.491,0.496,0.448,0.148,0.4,1.3,0.0,1.2,20,16,cuda:0,AdamW,0.01,0.0001,0.0001,640,output,0.0001,True,0.015,0.7,0.4,10.0,0.1,0.5,0.0,0.5,1.0,0.5,0.0,../Datasets/airplane/data_iter_05.yaml,1,['airplane'],7.5,0.5,1.5,output/detect/250417_190414_yolo11n_airplane_Iter_5/weights/best.pt,170.88694814500013
250417_185303,250417_190706,6,airplane,yolo11n,0.5001,0.1852,0.5708,0.4824,0.0963,0.571,0.482,0.5,0.185,0.3,1.0,0.0,1.4,20,16,cuda:0,AdamW,0.01,0.0001,0.0001,640,output,0.0001,True,0.015,0.7,0.4,10.0,0.1,0.5,0.0,0.5,1.0,0.5,0.0,../Datasets/airplane/data_iter_06.yaml,1,['airplane'],7.5,0.5,1.5,output/detect/250417_190706_yolo11n_airplane_Iter_6/weights/best.pt,172.56492748100027
250417_185303,250417_190958,7,airplane,yolo11n,0.4404,0.1574,0.5437,0.5289,0.0678,0.544,0.529,0.44,0.157,0.8,1.2,0.0,1.1,20,16,cuda:0,AdamW,0.01,0.0001,0.0001,640,output,0.0001,True,0.015,0.7,0.4,10.0,0.1,0.5,0.0,0.5,1.0,0.5,0.0,../Datasets/airplane/data_iter_07.yaml,1,['airplane'],7.5,0.5,1.5,output/detect/250417_190958_yolo11n_airplane_Iter_7/weights/best.pt,185.44353504500032
250417_185303,250417_191304,8,airplane,yolo11n,0.4712,0.1747,0.5272,0.5187,0.0828,0.527,0.519,0.471,0.175,0.5,1.0,0.0,1.0,20,16,cuda:0,AdamW,0.01,0.0001,0.0001,640,output,0.0001,True,0.015,0.7,0.4,10.0,0.1,0.5,0.0,0.5,1.0,0.5,0.0,../Datasets/airplane/data_iter_08.yaml,1,['airplane'],7.5,0.5,1.5,output/detect/250417_191304_yolo11n_airplane_Iter_8/weights/best.pt,173.939531344
250417_185303,250417_191558,9,airplane,yolo11n,0.4326,0.1597,0.484,0.5083,0.0673,0.484,0.508,0.433,0.16,0.5,1.0,0.0,0.9,20,16,cuda:0,AdamW,0.01,0.0001,0.0001,640,output,0.0001,True,0.015,0.7,0.4,10.0,0.1,0.5,0.0,0.5,1.0,0.5,0.0,../Datasets/airplane/data_iter_09.yaml,1,['airplane'],7.5,0.5,1.5,output/detect/250417_191558_yolo11n_airplane_Iter_9/weights/best.pt,169.23228893099986
250417_185303,250417_191848,10,airplane,yolo11n,0.4013,0.1226,0.5307,0.4762,0.0366,0.531,0.476,0.401,0.123,0.4,0.9,0.0,1.0,20,16,cuda:0,AdamW,0.01,0.0001,0.0001,640,output,0.0001,True,0.015,0.7,0.4,10.0,0.1,0.5,0.0,0.5,1.0,0.5,0.0,../Datasets/airplane/data_iter_10.yaml,1,['airplane'],7.5,0.5,1.5,output/detect/250417_191848_yolo11n_airplane_Iter_10/weights/best.pt,175.63623377000022
