number,value,params_lr,params_momentum,params_weight_decay,state
0,,0.006712194368890608,0.9605859972479904,7.159806289037998e-05,FAIL
1,0.4371004298736459,0.006266117470787868,0.9575000668224083,0.0002533779821248354,COMPLETE
2,0.5307762510081048,0.005685824075889591,0.5866011436686515,0.000194336006938385,COMPLETE
3,0.5443686628335337,0.005385363794882085,0.8516089154391436,0.0009030214065357421,COMPLETE
4,0.5223109466185272,0.008234619566329274,0.8147151171642899,0.0005202818001161707,COMPLETE
5,0.5441682754168162,0.00571912622263305,0.6396768713096932,0.0005803318998935084,COMPLETE
6,0.44029150450816895,0.00888695288454057,0.912101540947996,0.0008138524801654324,COMPLETE
7,0.5403804476637941,0.006242290003354507,0.6982767107943235,0.000134784814483102,COMPLETE
8,0.5323005287729695,0.007154528444431345,0.8421844983149505,3.091827359492438e-05,COMPLETE
9,0.48235981045930504,0.008085601245404568,0.5199080864490123,0.000325732118409925,COMPLETE
